Solicitation Number,Marketing Agent,Date of Solicitation,Month of Solicitation,Mode of Solicitation,Made Purchase?,Purchase ($),Legacy Customer?
5526,Lydon,Nov-23,Nov,email,YES,"$6,000",Not Legacy
2978,Shalley,Jan-27,Jan,Telephone,NO,,Not Legacy
23732,Nguyen,Nov-16,Nov,Meeting,NO,,Not Legacy
2546,Sanchez,Apr-21,Apr,email,NO,,Not Legacy
5472,Sanchez,Jan-03,Jan,Meeting,NO,,Not Legacy
11299,Shalley,Mar-28,Mar,Meeting,YES,"$1,200",Not Legacy
4659,Nguyen,May-03,May,Telephone,NO,,Not Legacy
755,Shalley,Feb-06,Feb,email,NO,,Not Legacy
5466,Lydon,Sep-28,Sep,Meeting,NO,,Not Legacy
18184,Sanchez,Oct-07,Oct,email,NO,,Not Legacy
11297,Shalley,Aug-14,Aug,Meeting,NO,,Not Legacy
23060,Shalley,Dec-25,Dec,email,NO,,Not Legacy
2339,Sanchez,Apr-13,Apr,Meeting,YES,"$3,800",Legacy
24099,Sanchez,Jul-14,Jul,Telephone,NO,,Not Legacy
13421,Shalley,Oct-30,Oct,email,NO,,Not Legacy
412,Lydon,Feb-25,Feb,Telephone,NO,,Not Legacy
23504,Lydon,Sep-13,Sep,Telephone,NO,,Not Legacy
13836,Shalley,Dec-04,Dec,email,NO,,Not Legacy
20067,Nguyen,Sep-05,Sep,email,NO,,Not Legacy
2084,Sanchez,Jun-21,Jun,email,NO,,Not Legacy
16876,Shalley,Mar-10,Mar,Meeting,NO,,Not Legacy
17852,Shalley,Jun-21,Jun,Meeting,NO,,Not Legacy
14527,Nguyen,Dec-11,Dec,Meeting,YES,"$3,200",Not Legacy
953,Lydon,Mar-10,Mar,email,NO,,Not Legacy
13596,Nguyen,Oct-27,Oct,Meeting,NO,,Not Legacy
5676,Sanchez,Aug-15,Aug,Meeting,YES,"$4,400",Not Legacy
3408,Sanchez,Nov-26,Nov,Telephone,NO,,Not Legacy
16059,Lydon,Oct-16,Oct,Meeting,YES,"$8,400",Not Legacy
12071,Shalley,Jan-02,Jan,Telephone,YES,"$5,000",Not Legacy
3269,Sanchez,May-27,May,Telephone,NO,,Legacy
10540,Sanchez,Jun-08,Jun,Telephone,NO,,Not Legacy
3115,Lydon,Mar-26,Mar,Meeting,NO,,Not Legacy
6939,Nguyen,Mar-23,Mar,email,NO,,Not Legacy
11425,Shalley,Mar-07,Mar,Meeting,NO,,Not Legacy
20918,Lydon,Dec-16,Dec,Telephone,NO,,Not Legacy
4647,Lydon,Sep-24,Sep,Telephone,NO,,Not Legacy
3150,Sanchez,Mar-14,Mar,email,NO,,Not Legacy
23505,Sanchez,May-08,May,Meeting,NO,,Legacy
14697,Shalley,Feb-19,Feb,Meeting,NO,,Not Legacy
2428,Sanchez,Dec-02,Dec,Telephone,NO,,Not Legacy
6051,Nguyen,Jul-16,Jul,Telephone,NO,,Not Legacy
21227,Sanchez,Jul-16,Jul,email,NO,,Not Legacy
11354,Nguyen,Apr-06,Apr,email,NO,,Not Legacy
13583,Lydon,Sep-15,Sep,Meeting,YES,"$7,000",Not Legacy
15508,Sanchez,Mar-27,Mar,email,NO,,Not Legacy
1849,Nguyen,Dec-29,Dec,Meeting,NO,,Not Legacy
7340,Nguyen,Nov-15,Nov,Meeting,YES,"$5,200",Not Legacy
15826,Sanchez,Nov-23,Nov,Telephone,NO,,Not Legacy
12383,Lydon,Jul-18,Jul,email,NO,,Not Legacy
9411,Nguyen,Jun-05,Jun,Meeting,NO,,Not Legacy
855,Nguyen,May-22,May,email,NO,,Not Legacy
5129,Nguyen,Sep-21,Sep,Telephone,NO,,Not Legacy
15138,Lydon,Sep-23,Sep,Meeting,NO,,Not Legacy
12704,Shalley,Jul-12,Jul,Meeting,NO,,Not Legacy
18170,Lydon,Aug-18,Aug,email,NO,,Not Legacy
19457,Nguyen,Oct-09,Oct,email,NO,,Not Legacy
22926,Nguyen,Oct-28,Oct,email,NO,,Not Legacy
9400,Sanchez,Apr-05,Apr,email,NO,,Not Legacy
20756,Shalley,Aug-01,Aug,email,YES,"$7,200",Not Legacy
22571,Sanchez,Apr-16,Apr,email,NO,,Not Legacy
20688,Sanchez,Jan-27,Jan,Meeting,NO,,Not Legacy
632,Shalley,Oct-09,Oct,Telephone,NO,,Not Legacy
20562,Lydon,Apr-19,Apr,email,NO,,Not Legacy
15620,Shalley,Aug-02,Aug,Meeting,YES,"$2,000",Not Legacy
2752,Sanchez,Jun-19,Jun,Meeting,YES,$400,Not Legacy
16190,Shalley,Mar-27,Mar,email,NO,,Not Legacy
4695,Shalley,Mar-31,Mar,Telephone,NO,,Not Legacy
826,Sanchez,Jan-25,Jan,Telephone,NO,,Not Legacy
15883,Sanchez,Mar-16,Mar,Meeting,NO,,Not Legacy
11729,Nguyen,Jun-08,Jun,email,NO,,Not Legacy
16449,Lydon,Feb-08,Feb,email,NO,,Not Legacy
23166,Lydon,Oct-25,Oct,email,NO,,Not Legacy
4762,Shalley,Sep-01,Sep,email,NO,,Not Legacy
17841,Shalley,May-14,May,email,NO,,Not Legacy
20219,Nguyen,May-12,May,Telephone,YES,"$7,200",Not Legacy
18917,Nguyen,Apr-18,Apr,email,NO,,Not Legacy
10107,Lydon,Feb-25,Feb,email,NO,,Not Legacy
14208,Sanchez,Nov-16,Nov,Meeting,YES,"$2,600",Not Legacy
18910,Lydon,Dec-30,Dec,email,NO,,Not Legacy
22976,Lydon,Oct-26,Oct,email,NO,,Not Legacy
20700,Lydon,Oct-25,Oct,Meeting,YES,"$5,600",Not Legacy
18785,Sanchez,Jul-27,Jul,Meeting,NO,,Not Legacy
1645,Shalley,Jan-30,Jan,email,NO,,Not Legacy
16254,Shalley,May-26,May,email,NO,,Not Legacy
3996,Sanchez,Oct-08,Oct,email,NO,,Not Legacy
23164,Nguyen,Oct-15,Oct,Meeting,NO,,Not Legacy
21425,Lydon,Dec-30,Dec,Meeting,NO,,Not Legacy
12879,Lydon,Oct-02,Oct,Meeting,NO,,Legacy
18465,Shalley,Feb-20,Feb,Meeting,NO,,Legacy
11946,Lydon,Aug-07,Aug,Meeting,NO,,Not Legacy
24867,Nguyen,Jun-17,Jun,email,NO,,Not Legacy
2757,Lydon,May-23,May,Meeting,NO,,Not Legacy
2879,Lydon,Jun-05,Jun,Meeting,YES,"$4,400",Not Legacy
9592,Lydon,Apr-29,Apr,Meeting,NO,,Not Legacy
19341,Nguyen,Jul-04,Jul,Meeting,NO,,Not Legacy
22365,Lydon,Aug-01,Aug,email,NO,,Not Legacy
24052,Nguyen,Apr-18,Apr,Telephone,NO,,Not Legacy
17935,Shalley,Aug-19,Aug,email,NO,,Not Legacy
15562,Nguyen,Jan-19,Jan,Telephone,NO,,Not Legacy
4333,Lydon,Jun-06,Jun,email,NO,,Not Legacy
8038,Lydon,Jul-18,Jul,email,NO,,Not Legacy
18080,Shalley,Jan-03,Jan,Meeting,NO,,Not Legacy
11811,Sanchez,Jan-10,Jan,Meeting,YES,"$9,000",Not Legacy
2042,Lydon,Dec-30,Dec,Meeting,YES,"$1,800",Not Legacy
12093,Shalley,Feb-05,Feb,Meeting,NO,,Not Legacy
15344,Lydon,Mar-22,Mar,email,NO,,Not Legacy
7984,Shalley,Jan-26,Jan,email,NO,,Not Legacy
24531,Nguyen,Mar-13,Mar,Telephone,NO,,Not Legacy
2712,Sanchez,Jul-16,Jul,Meeting,YES,"$8,400",Not Legacy
9698,Shalley,Jul-24,Jul,Meeting,YES,"$2,000",Not Legacy
8250,Shalley,Mar-17,Mar,Telephone,NO,,Legacy
9415,Sanchez,Oct-18,Oct,Telephone,NO,,Not Legacy
14513,Lydon,Jul-08,Jul,email,NO,,Not Legacy
15562,Nguyen,Jun-12,Jun,Meeting,NO,,Not Legacy
13636,Nguyen,Aug-12,Aug,email,NO,,Not Legacy
6500,Shalley,Jul-15,Jul,Meeting,NO,,Not Legacy
17802,Sanchez,Jun-14,Jun,email,NO,,Legacy
16932,Sanchez,Oct-14,Oct,Meeting,NO,,Not Legacy
15710,Lydon,May-31,May,email,NO,,Not Legacy
16865,Lydon,Apr-07,Apr,Meeting,NO,,Not Legacy
3051,Shalley,May-13,May,Telephone,NO,,Not Legacy
16568,Shalley,Mar-02,Mar,Meeting,NO,,Not Legacy
12390,Lydon,Mar-29,Mar,Meeting,YES,"$6,800",Not Legacy
11685,Nguyen,Jan-02,Jan,Meeting,NO,,Not Legacy
2536,Nguyen,Dec-05,Dec,email,NO,,Not Legacy
3633,Shalley,May-15,May,Telephone,NO,,Not Legacy
24531,Sanchez,Jul-13,Jul,email,NO,,Not Legacy
14808,Shalley,Jan-21,Jan,Meeting,NO,,Not Legacy
20012,Nguyen,May-07,May,Meeting,NO,,Not Legacy
8397,Shalley,Dec-15,Dec,Meeting,YES,"$1,400",Not Legacy
13385,Sanchez,Jul-02,Jul,Telephone,NO,,Not Legacy
15742,Sanchez,Jun-13,Jun,Telephone,NO,,Not Legacy
775,Shalley,Oct-30,Oct,Meeting,YES,"$6,200",Legacy
9326,Lydon,Aug-11,Aug,Telephone,NO,,Not Legacy
22459,Sanchez,Nov-21,Nov,Telephone,NO,,Not Legacy
16952,Lydon,Jun-25,Jun,email,NO,,Legacy
18530,Lydon,Apr-22,Apr,email,NO,,Not Legacy
17198,Nguyen,Aug-26,Aug,email,NO,,Not Legacy
22172,Sanchez,Jul-13,Jul,email,NO,,Not Legacy
7782,Shalley,Apr-27,Apr,Telephone,NO,,Not Legacy
6346,Shalley,Oct-06,Oct,Meeting,NO,,Not Legacy
4947,Nguyen,Aug-06,Aug,Telephone,NO,,Not Legacy
23771,Sanchez,May-30,May,Meeting,NO,,Not Legacy
16716,Lydon,Jul-14,Jul,Telephone,YES,"$6,400",Not Legacy
794,Sanchez,Jan-21,Jan,email,NO,,Not Legacy
2913,Nguyen,Feb-20,Feb,Telephone,NO,,Not Legacy
14239,Shalley,Jul-09,Jul,Meeting,NO,,Not Legacy
1314,Nguyen,Jun-21,Jun,email,NO,,Not Legacy
17620,Nguyen,Mar-29,Mar,email,NO,,Not Legacy
1941,Sanchez,Jun-28,Jun,Meeting,NO,,Not Legacy
19844,Nguyen,Oct-17,Oct,email,NO,,Not Legacy
308,Sanchez,May-07,May,Telephone,YES,"$6,200",Not Legacy
8297,Lydon,Mar-07,Mar,Telephone,NO,,Not Legacy
7330,Shalley,Oct-12,Oct,Meeting,NO,,Not Legacy
15360,Nguyen,Dec-02,Dec,email,NO,,Not Legacy
15788,Shalley,Jul-24,Jul,Meeting,NO,,Not Legacy
21461,Sanchez,Dec-19,Dec,email,NO,,Not Legacy
5362,Nguyen,Aug-08,Aug,Meeting,NO,,Not Legacy
12343,Shalley,Feb-17,Feb,email,NO,,Not Legacy
19558,Lydon,Aug-22,Aug,Telephone,NO,,Not Legacy
2470,Nguyen,Oct-06,Oct,Telephone,NO,,Not Legacy
23595,Sanchez,Jul-05,Jul,Telephone,NO,,Not Legacy
14371,Nguyen,Apr-13,Apr,Meeting,NO,,Not Legacy
14297,Sanchez,Dec-02,Dec,Meeting,NO,,Not Legacy
16939,Nguyen,Nov-13,Nov,Meeting,YES,"$8,000",Not Legacy
23647,Nguyen,Sep-30,Sep,Meeting,NO,,Legacy
14849,Nguyen,Oct-03,Oct,email,NO,,Not Legacy
19501,Shalley,Dec-18,Dec,Meeting,NO,,Not Legacy
15722,Lydon,Jul-10,Jul,email,NO,,Not Legacy
20990,Lydon,Feb-09,Feb,email,NO,,Not Legacy
9861,Shalley,Jan-31,Jan,Meeting,NO,,Not Legacy
5796,Shalley,May-02,May,Telephone,NO,,Not Legacy
2617,Lydon,Sep-19,Sep,Meeting,NO,,Not Legacy
6330,Nguyen,Apr-08,Apr,email,NO,,Not Legacy
20606,Sanchez,Dec-04,Dec,Meeting,NO,,Not Legacy
10728,Shalley,Jul-23,Jul,Telephone,NO,,Not Legacy
11629,Sanchez,May-19,May,Meeting,NO,,Not Legacy
3332,Sanchez,Apr-11,Apr,email,NO,,Not Legacy
24253,Sanchez,Mar-28,Mar,Telephone,NO,,Not Legacy
3954,Shalley,Apr-25,Apr,Telephone,NO,,Not Legacy
18079,Sanchez,Dec-31,Dec,Meeting,NO,,Not Legacy
12514,Sanchez,Apr-01,Apr,email,NO,,Not Legacy
24915,Nguyen,Mar-29,Mar,email,NO,,Not Legacy
2467,Sanchez,May-10,May,Telephone,NO,,Not Legacy
15414,Sanchez,Sep-20,Sep,email,NO,,Not Legacy
9462,Lydon,Jul-25,Jul,email,NO,,Not Legacy
19460,Sanchez,May-03,May,Meeting,NO,,Not Legacy
5778,Nguyen,Nov-08,Nov,Meeting,NO,,Not Legacy
19121,Sanchez,Jun-30,Jun,email,NO,,Not Legacy
7394,Sanchez,Nov-11,Nov,Meeting,YES,"$8,400",Not Legacy
8410,Nguyen,Mar-17,Mar,email,NO,,Not Legacy
15431,Nguyen,Mar-19,Mar,email,NO,,Not Legacy
6641,Lydon,Aug-11,Aug,Meeting,NO,,Not Legacy
8,Nguyen,Jun-13,Jun,Telephone,NO,,Not Legacy
12782,Nguyen,Dec-07,Dec,email,NO,,Not Legacy
22183,Shalley,Apr-22,Apr,email,NO,,Not Legacy
13138,Shalley,Sep-03,Sep,Meeting,NO,,Not Legacy
21781,Lydon,Apr-23,Apr,Meeting,NO,,Not Legacy
13248,Nguyen,Aug-03,Aug,Telephone,NO,,Not Legacy
9081,Lydon,Mar-29,Mar,Meeting,YES,"$5,600",Not Legacy
22420,Nguyen,Aug-15,Aug,Meeting,NO,,Not Legacy
20003,Shalley,Apr-04,Apr,Meeting,YES,"$4,400",Legacy
12752,Sanchez,Jan-26,Jan,Telephone,NO,,Legacy
2108,Sanchez,Sep-10,Sep,Meeting,NO,,Not Legacy
21013,Shalley,Aug-20,Aug,email,NO,,Not Legacy
2419,Sanchez,Dec-02,Dec,Meeting,NO,,Legacy
4212,Lydon,Aug-01,Aug,Meeting,NO,,Not Legacy
21345,Lydon,Sep-22,Sep,Telephone,NO,,Not Legacy
11745,Sanchez,Jul-09,Jul,email,NO,,Not Legacy
18893,Lydon,Dec-15,Dec,email,NO,,Not Legacy
8549,Lydon,Sep-17,Sep,Telephone,NO,,Not Legacy
12233,Shalley,Jun-20,Jun,Telephone,NO,,Not Legacy
8813,Sanchez,Apr-26,Apr,Telephone,NO,,Not Legacy
9389,Nguyen,Jul-06,Jul,Meeting,NO,,Not Legacy
20270,Shalley,Feb-02,Feb,Telephone,NO,,Not Legacy
3092,Nguyen,Nov-29,Nov,Meeting,NO,,Not Legacy
15220,Shalley,Apr-16,Apr,email,NO,,Not Legacy
6837,Lydon,May-10,May,email,NO,,Not Legacy
637,Sanchez,Sep-05,Sep,Meeting,NO,,Not Legacy
16719,Nguyen,Jun-23,Jun,Meeting,NO,,Not Legacy
12519,Nguyen,Dec-03,Dec,Meeting,NO,,Not Legacy
21887,Nguyen,Oct-26,Oct,email,NO,,Not Legacy
23759,Lydon,Jan-31,Jan,Meeting,NO,,Not Legacy
260,Lydon,Aug-07,Aug,email,NO,,Not Legacy
22372,Nguyen,Jan-19,Jan,Meeting,NO,,Not Legacy
3728,Sanchez,Sep-20,Sep,Telephone,NO,,Legacy
5923,Nguyen,Aug-18,Aug,Meeting,NO,,Not Legacy
9133,Nguyen,Nov-09,Nov,Telephone,NO,,Not Legacy
24986,Shalley,May-13,May,Meeting,YES,"$9,200",Not Legacy
429,Nguyen,Jan-24,Jan,Meeting,NO,,Not Legacy
19483,Shalley,Aug-03,Aug,Meeting,NO,,Not Legacy
12741,Lydon,Feb-29,Feb,Meeting,NO,,Not Legacy
14121,Sanchez,May-08,May,email,NO,,Not Legacy
19601,Lydon,Jan-22,Jan,email,NO,,Not Legacy
12641,Shalley,Aug-24,Aug,email,NO,,Not Legacy
21138,Shalley,Feb-15,Feb,Telephone,NO,,Not Legacy
6209,Lydon,Oct-13,Oct,email,NO,,Not Legacy
3756,Shalley,May-18,May,Meeting,YES,"$5,600",Not Legacy
13307,Lydon,Apr-15,Apr,Meeting,YES,"$1,200",Not Legacy
24743,Nguyen,Jan-13,Jan,Telephone,NO,,Not Legacy
11051,Shalley,Nov-30,Nov,email,NO,,Not Legacy
1639,Sanchez,Sep-27,Sep,email,NO,,Not Legacy
9932,Nguyen,Nov-07,Nov,Meeting,NO,,Not Legacy
10786,Lydon,Nov-13,Nov,Telephone,NO,,Not Legacy
19215,Nguyen,Mar-30,Mar,Meeting,YES,"$6,000",Not Legacy
9993,Sanchez,Apr-24,Apr,Meeting,YES,"$3,600",Not Legacy
12195,Shalley,Jan-28,Jan,Meeting,NO,,Not Legacy
9891,Lydon,Feb-28,Feb,Meeting,YES,"$5,800",Not Legacy
5621,Nguyen,Nov-02,Nov,email,YES,"$5,600",Not Legacy
16455,Sanchez,Sep-13,Sep,email,NO,,Not Legacy
5313,Shalley,Sep-18,Sep,Telephone,NO,,Not Legacy
21749,Sanchez,Feb-10,Feb,Telephone,NO,,Not Legacy
22216,Nguyen,Jun-02,Jun,Telephone,YES,"$7,200",Not Legacy
18322,Nguyen,Jun-10,Jun,email,NO,,Not Legacy
19515,Lydon,Feb-05,Feb,Meeting,YES,"$8,800",Legacy
12190,Sanchez,Jul-05,Jul,Meeting,NO,,Not Legacy
2445,Sanchez,Jun-26,Jun,Meeting,NO,,Not Legacy
17390,Nguyen,Dec-30,Dec,email,NO,,Not Legacy
624,Nguyen,Sep-01,Sep,email,NO,,Not Legacy
23913,Lydon,Apr-08,Apr,Meeting,NO,,Not Legacy
8473,Shalley,Feb-08,Feb,email,NO,,Not Legacy
11985,Nguyen,Jul-22,Jul,Telephone,NO,,Not Legacy
24035,Lydon,Feb-18,Feb,Telephone,NO,,Legacy
21838,Shalley,Nov-26,Nov,Meeting,YES,"$3,000",Not Legacy
24237,Nguyen,Jul-10,Jul,Meeting,YES,"$8,400",Not Legacy
24604,Sanchez,Aug-19,Aug,email,NO,,Not Legacy
13563,Shalley,Apr-07,Apr,Meeting,YES,"$3,200",Not Legacy
13085,Sanchez,Sep-12,Sep,email,NO,,Not Legacy
1262,Sanchez,Jul-30,Jul,Meeting,NO,,Not Legacy
12091,Shalley,Dec-18,Dec,email,NO,,Not Legacy
627,Lydon,Oct-08,Oct,email,NO,,Not Legacy
7133,Lydon,May-06,May,Meeting,YES,$400,Not Legacy
21629,Nguyen,Feb-24,Feb,email,NO,,Not Legacy
20831,Nguyen,Jun-04,Jun,Telephone,NO,,Not Legacy
1865,Shalley,Sep-02,Sep,email,NO,,Not Legacy
7090,Nguyen,May-20,May,email,NO,,Not Legacy
17986,Nguyen,Jan-09,Jan,Telephone,NO,,Not Legacy
23722,Nguyen,Nov-20,Nov,Meeting,YES,"$9,800",Not Legacy
11717,Lydon,May-22,May,Meeting,NO,,Not Legacy
14683,Lydon,Nov-26,Nov,email,NO,,Not Legacy
11362,Shalley,Nov-21,Nov,Telephone,NO,,Not Legacy
12117,Nguyen,Dec-03,Dec,Meeting,NO,,Not Legacy
7244,Lydon,Jul-28,Jul,email,NO,,Not Legacy
5273,Nguyen,Apr-06,Apr,email,NO,,Legacy
5078,Nguyen,Jan-09,Jan,email,NO,,Not Legacy
20891,Nguyen,Oct-05,Oct,email,NO,,Not Legacy
15024,Sanchez,Jun-19,Jun,email,NO,,Legacy
14404,Shalley,Sep-06,Sep,Telephone,YES,"$1,200",Not Legacy
8717,Nguyen,Mar-31,Mar,email,NO,,Not Legacy
1288,Nguyen,Apr-19,Apr,email,NO,,Not Legacy
19184,Sanchez,Nov-07,Nov,Meeting,NO,,Not Legacy
9372,Nguyen,Jun-02,Jun,Telephone,NO,,Not Legacy
19699,Lydon,May-20,May,email,NO,,Not Legacy
7664,Lydon,Jan-25,Jan,Meeting,NO,,Not Legacy
20518,Nguyen,Dec-18,Dec,email,NO,,Not Legacy
3031,Lydon,Aug-10,Aug,Telephone,NO,,Not Legacy
23609,Sanchez,Jun-25,Jun,email,NO,,Not Legacy
12094,Shalley,Mar-05,Mar,Meeting,YES,$200,Not Legacy
9208,Shalley,Jun-10,Jun,Meeting,NO,,Legacy
14444,Sanchez,Apr-18,Apr,Meeting,YES,"$5,400",Not Legacy
7778,Shalley,Oct-18,Oct,email,NO,,Not Legacy
13371,Nguyen,Dec-16,Dec,email,NO,,Not Legacy
7605,Nguyen,Jul-26,Jul,Meeting,YES,"$3,600",Not Legacy
22830,Nguyen,Feb-06,Feb,Telephone,NO,,Not Legacy
11431,Nguyen,Jan-24,Jan,email,NO,,Not Legacy
10285,Lydon,Feb-02,Feb,email,NO,,Not Legacy
24516,Lydon,Feb-16,Feb,Telephone,NO,,Not Legacy
4288,Shalley,Aug-02,Aug,email,YES,"$4,200",Not Legacy
15280,Nguyen,Feb-27,Feb,Telephone,NO,,Not Legacy
884,Sanchez,Oct-27,Oct,Meeting,NO,,Not Legacy
21078,Nguyen,Sep-29,Sep,email,NO,,Legacy
9755,Lydon,Nov-22,Nov,email,NO,,Not Legacy
6596,Nguyen,Apr-26,Apr,Meeting,NO,,Not Legacy
21574,Nguyen,May-06,May,Telephone,NO,,Not Legacy
11279,Sanchez,Jan-10,Jan,email,NO,,Not Legacy
9468,Sanchez,Dec-25,Dec,email,NO,,Not Legacy
15855,Lydon,Aug-25,Aug,Telephone,NO,,Not Legacy
23101,Sanchez,Dec-12,Dec,email,NO,,Not Legacy
1050,Nguyen,Sep-28,Sep,Telephone,NO,,Not Legacy
10724,Shalley,Aug-22,Aug,Meeting,NO,,Not Legacy
14488,Nguyen,Sep-22,Sep,email,NO,,Not Legacy
11786,Nguyen,Aug-27,Aug,Telephone,NO,,Not Legacy
18060,Shalley,Oct-11,Oct,email,NO,,Not Legacy
8687,Nguyen,Aug-11,Aug,Meeting,NO,,Not Legacy
11970,Nguyen,Jul-11,Jul,email,NO,,Not Legacy
20927,Nguyen,Jul-06,Jul,Meeting,NO,,Not Legacy
17461,Shalley,Dec-23,Dec,email,YES,"$6,600",Legacy
6499,Lydon,Mar-03,Mar,email,NO,,Not Legacy
23227,Nguyen,Jun-01,Jun,Meeting,NO,,Not Legacy
8202,Sanchez,Feb-09,Feb,email,NO,,Not Legacy
12344,Lydon,Jun-10,Jun,Meeting,NO,,Not Legacy
9531,Sanchez,Sep-29,Sep,Telephone,YES,"$1,400",Not Legacy
17228,Sanchez,Jan-09,Jan,Meeting,YES,"$6,200",Not Legacy
3444,Sanchez,Aug-03,Aug,email,NO,,Legacy
3505,Nguyen,Jun-08,Jun,email,NO,,Not Legacy
21502,Sanchez,Aug-14,Aug,Meeting,NO,,Not Legacy
8020,Nguyen,Apr-17,Apr,email,NO,,Not Legacy
3042,Nguyen,Dec-25,Dec,email,NO,,Not Legacy
2874,Sanchez,Aug-19,Aug,Meeting,YES,$600,Not Legacy
15362,Nguyen,Oct-05,Oct,Telephone,NO,,Not Legacy
12374,Lydon,Nov-06,Nov,email,NO,,Not Legacy
20712,Nguyen,May-09,May,Meeting,NO,,Not Legacy
16986,Lydon,Nov-15,Nov,Meeting,NO,,Not Legacy
16979,Nguyen,Apr-05,Apr,email,NO,,Not Legacy
4127,Shalley,Jun-09,Jun,Meeting,NO,,Not Legacy
18207,Lydon,Mar-10,Mar,email,NO,,Not Legacy
5975,Sanchez,Jun-29,Jun,Meeting,NO,,Not Legacy
22430,Nguyen,Aug-22,Aug,email,NO,,Not Legacy
985,Sanchez,Aug-02,Aug,Meeting,NO,,Not Legacy
8953,Nguyen,May-21,May,email,YES,"$7,800",Not Legacy
10115,Nguyen,Dec-19,Dec,Telephone,NO,,Not Legacy
2860,Lydon,Jun-26,Jun,Meeting,YES,"$8,200",Legacy
13181,Lydon,Jan-09,Jan,Meeting,NO,,Not Legacy
1819,Shalley,Jun-05,Jun,Telephone,NO,,Not Legacy
20174,Sanchez,Jul-18,Jul,email,NO,,Not Legacy
12315,Sanchez,Mar-19,Mar,email,NO,,Not Legacy
10202,Lydon,Jul-31,Jul,email,NO,,Not Legacy
16534,Nguyen,Sep-13,Sep,Telephone,NO,,Not Legacy
15266,Lydon,Jun-19,Jun,email,NO,,Not Legacy
21684,Shalley,Jan-31,Jan,email,NO,,Not Legacy
20055,Lydon,Jul-04,Jul,email,NO,,Not Legacy
15412,Sanchez,Jul-31,Jul,Meeting,YES,"$2,600",Not Legacy
14112,Sanchez,Oct-05,Oct,Telephone,NO,,Not Legacy
4398,Shalley,Mar-25,Mar,Telephone,NO,,Not Legacy
15698,Shalley,Jul-09,Jul,email,NO,,Not Legacy
13370,Lydon,May-01,May,email,NO,,Not Legacy
24466,Lydon,Jun-21,Jun,Telephone,YES,"$9,600",Not Legacy
9663,Shalley,Mar-07,Mar,Telephone,NO,,Not Legacy
17452,Sanchez,Sep-25,Sep,email,NO,,Not Legacy
6176,Lydon,Sep-04,Sep,Meeting,YES,"$5,600",Not Legacy
23996,Nguyen,Feb-21,Feb,Meeting,NO,,Not Legacy
18863,Sanchez,Sep-23,Sep,email,NO,,Not Legacy
24482,Nguyen,Jul-19,Jul,Meeting,YES,"$7,000",Not Legacy
4612,Lydon,Dec-22,Dec,email,NO,,Not Legacy
8958,Lydon,Dec-04,Dec,email,NO,,Not Legacy
12121,Nguyen,May-06,May,Telephone,NO,,Legacy
23826,Lydon,Mar-09,Mar,Meeting,YES,"$7,400",Legacy
11893,Lydon,Dec-06,Dec,email,YES,"$1,600",Legacy
14234,Shalley,Jan-28,Jan,Telephone,NO,,Not Legacy
20739,Nguyen,Mar-18,Mar,email,NO,,Not Legacy
17910,Nguyen,Feb-22,Feb,Meeting,YES,"$3,200",Not Legacy
15309,Shalley,Dec-30,Dec,Meeting,NO,,Not Legacy
14861,Shalley,Apr-01,Apr,email,NO,,Not Legacy
15949,Lydon,Feb-25,Feb,email,NO,,Not Legacy
8555,Shalley,Aug-30,Aug,email,NO,,Not Legacy
18762,Lydon,Mar-27,Mar,Meeting,NO,,Not Legacy
2230,Nguyen,Sep-26,Sep,email,NO,,Not Legacy
14154,Nguyen,Jan-20,Jan,email,NO,,Not Legacy
24985,Shalley,Feb-18,Feb,email,NO,,Not Legacy
9177,Sanchez,Jul-05,Jul,Telephone,NO,,Not Legacy
10092,Nguyen,Sep-02,Sep,email,NO,,Not Legacy
4241,Nguyen,Feb-04,Feb,Telephone,NO,,Not Legacy
13031,Shalley,Feb-18,Feb,Meeting,NO,,Not Legacy
9684,Lydon,May-27,May,email,NO,,Not Legacy
20986,Sanchez,Nov-16,Nov,Telephone,NO,,Legacy
24155,Nguyen,Feb-12,Feb,email,NO,,Not Legacy
17515,Nguyen,Apr-18,Apr,email,NO,,Not Legacy
15443,Nguyen,May-11,May,email,NO,,Legacy
22256,Sanchez,Jun-29,Jun,Meeting,NO,,Not Legacy
5034,Nguyen,Mar-13,Mar,Telephone,NO,,Not Legacy
9826,Shalley,Oct-22,Oct,email,NO,,Not Legacy
8383,Sanchez,Jun-11,Jun,Meeting,NO,,Not Legacy
20692,Shalley,Sep-06,Sep,Telephone,NO,,Legacy
18682,Nguyen,Dec-24,Dec,Telephone,NO,,Not Legacy
20306,Sanchez,Jan-06,Jan,Telephone,NO,,Not Legacy
4146,Nguyen,Nov-10,Nov,Meeting,NO,,Not Legacy
24158,Lydon,Aug-09,Aug,Meeting,YES,"$3,800",Not Legacy
8892,Shalley,Nov-07,Nov,Telephone,NO,,Not Legacy
3119,Shalley,Mar-30,Mar,Meeting,NO,,Not Legacy
18471,Shalley,Aug-01,Aug,Meeting,YES,"$9,000",Not Legacy
24192,Shalley,Jul-23,Jul,email,NO,,Not Legacy
24823,Nguyen,Feb-24,Feb,email,NO,,Not Legacy
12899,Shalley,Sep-02,Sep,email,YES,"$5,200",Not Legacy
9697,Nguyen,Jul-30,Jul,Telephone,NO,,Not Legacy
